framework,item_id,score,confidence,evidence_file,notes,source_run
llamacpp,D7.2,INSECURE,HIGH,runs_v7/llamacpp/probes/D1.1.txt,"gap score = 6: 6 D1-D6 items INSECURE by default despite a secure option (D1.1, D2.1, D3.1, D4.1, D4.2, D5.3) [v8 audit: D1.2 -> WARNS dropped gap 7->6]",runs_v8
localai,D1.2,SECURE,HIGH,findings_v8/localai/doc_evidence.md,'Security considerations' tip explicitly warns about remote exposure and to protect endpoints | src: localai.io/basics/getting_started/ (2026-06-02),runs_v8
localai,D2.2,WARNS,HIGH,findings_v8/localai/doc_evidence.md,native LOCALAI_API_KEY (+ LOCALAI_AUTH) exist but OFF by default | src: localai.io/basics/getting_started/ (2026-06-02),runs_v8
localai,D7.1,SECURE,HIGH,findings_v8/localai/doc_evidence.md,getting-started 'Security considerations' tip warns 'protect the API endpoints adequately' and shows LOCALAI_API_KEY hardening on the quickstart page itself | src: localai.io/basics/getting_started/ (2026-06-02),runs_v8
localai,D7.2,INSECURE,HIGH,runs_v7/localai/probes/D1.1.txt,"gap score = 8: 8 D1-D6 items INSECURE by default despite a secure option (D1.1, D2.1, D3.1, D3.2, D4.1, D4.2, D5.3, D6.2)",runs_v8
tgwui,D1.2,INSECURE,HIGH,findings_v8/tgwui/doc_evidence.md,"--listen documented as 'reachable from local network', no caveat | src: github.com/oobabooga/text-generation-webui README.md (2026-06-02)",runs_v8
tgwui,D2.2,WARNS,HIGH,findings_v8/tgwui/doc_evidence.md,native --api-key/--admin-key (API) + --gradio-auth (UI) exist but OFF by default | src: github.com/oobabooga/text-generation-webui README.md (2026-06-02),runs_v8
tgwui,D7.1,INSECURE,HIGH,findings_v8/tgwui/doc_evidence.md,README documents --listen ('reachable from local network') with no security caveat | src: github.com/oobabooga/text-generation-webui README.md (2026-06-02),runs_v8
sglang,D1.2,INSECURE,HIGH,findings_v8/sglang/doc_evidence.md,code default --host=127.0.0.1 (loopback) but docs/example bind 0.0.0.0 with no exposure caveat | src: docs.sglang.io/advanced_features/server_arguments.html (2026-06-02),runs_v8
sglang,D2.2,WARNS,HIGH,findings_v8/sglang/doc_evidence.md,"native --api-key (+ --admin-api-key) exists, default None/off | src: docs.sglang.io/advanced_features/server_arguments.html (2026-06-02)",runs_v8
sglang,D7.1,INSECURE,HIGH,findings_v8/sglang/doc_evidence.md,server-arguments page is a pure reference; no security warning; example binds 0.0.0.0 w/o caveat | src: docs.sglang.io/advanced_features/server_arguments.html (2026-06-02),runs_v8
tgi,D1.2,INSECURE,HIGH,findings_v8/tgi/doc_evidence.md,quicktour -p 8080:80 publishes the port; --hostname default 0.0.0.0; no exposure caveat | src: huggingface.co/docs/text-generation-inference quicktour + reference/launcher (2026-06-02),runs_v8
tgi,D2.2,WARNS,HIGH,findings_v8/tgi/doc_evidence.md,native --api-key (env API_KEY) EXISTS but OFF by default [CORRECTION: v7 prior wrongly said 'no native auth'] | src: huggingface.co/docs/text-generation-inference quicktour + reference/launcher (2026-06-02),runs_v8
tgi,D7.1,INSECURE,HIGH,findings_v8/tgi/doc_evidence.md,"quicktour: bare 'docker run -p 8080:80 --model-id', no security/auth/telemetry caveat | src: huggingface.co/docs/text-generation-inference quicktour + reference/launcher (2026-06-02)",runs_v8
tgi,D7.2,INSECURE,HIGH,runs_v7/tgi/probes/D1.1.txt,"gap score = 8: 8 D1-D6 items INSECURE by default despite a secure option (D1.1, D1.2, D2.1, D3.1, D4.1, D4.2, D5.3, D6.1) [v8 stale-fix: v7 value did not reflect the Part-B D6.1 change]",runs_v8
