framework,item_id,score,confidence,evidence_file,notes,source_run
localai,D5.1,SECURE,LOW,runs_v7/localai/probes/D5.1.txt,request chat_template not rendered (404); benign SSTI not evaluated,runs_v7
localai,D6.1,UNK,LOW,runs_v7/localai/probes/D6.1_content.txt,"B1: external egress to GitHub-Pages range (gallery index host) + AWS; logs show stats are in-memory/no-auth/single-user (NOT exfiltrated); TLS content not inspected — leaning benign gallery fetch but unconfirmed, honest UNK",runs_v7
localai,D7.1,INSECURE,LOW,runs_v7/localai/probes/D1.1.txt,"official quickstart leads with an unauthenticated, network-exposed launch; no prominent security warning (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ localai.io/basics/getting_started",runs_v7
localai,D7.2,INSECURE,HIGH,runs_v7/localai/probes/D1.1.txt,"gap score = 9: 9 D1-D6 items are INSECURE by default despite a secure option existing (D1.1, D1.2, D2.1, D3.1, D3.2, D4.1, D4.2, D5.3, D6.2)",runs_v7
tgwui,D1.1,INSECURE,HIGH,runs_v7/tgwui/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
tgwui,D1.2,INSECURE,LOW,runs_v7/tgwui/probes/D1.1.txt,docs publish the port and show network exposure without a prominent secure-by-default caveat (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/oobabooga/text-generation-webui wiki/Docker,runs_v7
tgwui,D2.2,WARNS,LOW,runs_v7/tgwui/probes/D1.1.txt,--api-key exists but OFF by default (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/oobabooga/text-generation-webui wiki/Docker,runs_v7
tgwui,D3.2,INSECURE,HIGH,runs_v7/tgwui/probes/D3.2.txt,unauth model-load endpoint /v1/internal/model/load reachable w/o auth (500 on bogus name = no 401; v6 Job3 showed 200 unauth with a valid model),runs_v7
tgwui,D5.1,SECURE,LOW,runs_v7/tgwui/probes/D5.1.txt,"request chat_template not rendered (500, no model); benign SSTI not evaluated",runs_v7
tgwui,D6.1,UNK,LOW,runs_v7/tgwui/probes/D6.1_content.txt,"B1: startup egress to github.com (v6 SNI) but container logs did not reveal the request purpose; TLS-opaque; likely update/extension check, not confirmed — honest UNK",runs_v7
tgwui,D7.1,INSECURE,LOW,runs_v7/tgwui/probes/D1.1.txt,"official quickstart leads with an unauthenticated, network-exposed launch; no prominent security warning (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ github.com/oobabooga/text-generation-webui wiki/Docker",runs_v7
tgwui,D7.2,INSECURE,HIGH,runs_v7/tgwui/probes/D1.1.txt,"gap score = 6: 6 D1-D6 items are INSECURE by default despite a secure option existing (D1.1, D1.2, D3.1, D3.2, D4.2, D5.3)",runs_v7
sglang,D1.1,INSECURE,HIGH,runs_v7/sglang/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
sglang,D1.2,INSECURE,LOW,runs_v7/sglang/probes/D1.1.txt,docs publish the port and show network exposure without a prominent secure-by-default caveat (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ docs.sglang.ai,runs_v7
sglang,D2.2,WARNS,LOW,runs_v7/sglang/probes/D1.1.txt,--api-key exists but OFF by default (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ docs.sglang.ai,runs_v7
sglang,D3.2,INSECURE,LOW,runs_v7/sglang/probes/D3.2.txt,unauth /update_weights_from_disk reachable (HTTP 400 on a nonexistent path = no 401/403 auth gate; successful unauth load not confirmed — flag),runs_v7
sglang,D5.1,SECURE,LOW,runs_v7/sglang/probes/D5.1.txt,"request chat_template field ignored (200 normal completion, no '7777777' render); benign SSTI not evaluated",runs_v7
sglang,D6.1,SECURE,HIGH,runs_v7/sglang/probes/D6.1_content.txt,"B1 content (logs): only external egress = HF model/tokenizer fetch (Qwen2.5-0.5B); enable_metrics=False, traces->localhost; no telemetry — log-confirmed benign",runs_v7
sglang,D7.1,INSECURE,LOW,runs_v7/sglang/probes/D1.1.txt,"official quickstart leads with an unauthenticated, network-exposed launch; no prominent security warning (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ docs.sglang.ai",runs_v7
sglang,D7.2,INSECURE,HIGH,runs_v7/sglang/probes/D1.1.txt,"gap score = 8: 8 D1-D6 items are INSECURE by default despite a secure option existing (D1.1, D1.2, D2.1, D3.1, D3.2, D4.1, D4.2, D5.3)",runs_v7
tgi,D1.1,INSECURE,HIGH,runs_v7/tgi/probes/D1.1.txt,binds 0.0.0.0/:: (all interfaces) by default; in-container /proc/net/tcp listener,runs_v7
tgi,D1.2,INSECURE,LOW,runs_v7/tgi/probes/D1.1.txt,docs publish the port and show network exposure without a prominent secure-by-default caveat (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ huggingface.co/docs/text-generation-inference,runs_v7
tgi,D2.2,WARNS,LOW,runs_v7/tgi/probes/D1.1.txt,no built-in API-key auth — front with gateway/proxy (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ huggingface.co/docs/text-generation-inference,runs_v7
tgi,D3.2,N_A,HIGH,runs_v7/tgi/probes/D1.1.txt,no model pull/load endpoint by default (model fixed via --model-id),runs_v7
tgi,D5.1,SECURE,LOW,runs_v7/tgi/probes/D5.1.txt,request chat_template rejected (422); benign SSTI not evaluated server-side,runs_v7
tgi,D6.1,INSECURE,LOW,runs_v7/tgi/probes/D6.1_content.txt,B1: launcher config shows usage_stats=On by default (HF usage telemetry); HF egress = gpt2 model download + usage-stats enabled. Default-on telemetry feature confirmed; exact stats POST not isolated from model-download traffic — HUMAN: confirm payload,runs_v7
tgi,D7.1,INSECURE,LOW,runs_v7/tgi/probes/D1.1.txt,"official quickstart leads with an unauthenticated, network-exposed launch; no prominent security warning (informed prior from background knowledge; NOT live-verified — PROTOCOL.md constraint #1 precluded fetching third-party docs; HUMAN: verify live doc text) @ huggingface.co/docs/text-generation-inference",runs_v7
tgi,D7.2,INSECURE,HIGH,runs_v7/tgi/probes/D1.1.txt,"gap score = 7: 7 D1-D6 items are INSECURE by default despite a secure option existing (D1.1, D1.2, D2.1, D3.1, D4.1, D4.2, D5.3)",runs_v7
